文本;真实一级评论数;真实点赞数;边数;最大边数;集群密度
日本核污水排海有哪些连锁反应女生回应英国街头科普日本核污水排海：“要做点有意义的事情”日本核污水首次排海造成了哪些影响近日，一中国留学生在英国街头科普日本核污染水排海危害，呼吁大家共同传递真相。女生表示，英国的民众以为这就是普通的水污染，自己要做点有意义的事情，让大家了展开;1;77;78;9387;0.008309364014062001
中国大使谴责日本核污水排海侵犯人权当地时间月日，中国代表陈旭大使在发言中指出，日本政府单方面强行启动福岛核污染水排海，严重侵犯太平洋沿岸国家乃至全球人民的健康权、发展权和环境权。其正当性、合法性、安全性一直受到国际社会质疑，并遭到日本、韩国等国民众强烈反对。中方呼吁人权理事会对这一问题加大关注，敦促日方立即停止排海行为。月日，为“反对日本核污水排海、谴责尹锡悦政府”，韩国最大在野党共同民主党党代表李在明已绝食抗议天，弓背垂头体力不支躺卧。日本核污染水第一轮共排放立方米网页链接七环视频的微博视频;1;6;7;9387;0.0007457121551081282
一定是日本排放核污水导致水分过多，引发附近连续暴雨这可是广东的秋天啊，不可能有雨的;1;0;1;9387;0.00010653030787258975
日本今年度计划排超万吨核污水日律师批核污水排海违反国际法日本福岛核污染水将在月底之前启动第二次排海，日本有反对派律师指出，福岛核污水排海违反联合国海洋法公约，第条第项指，禁止将陆地上的有害物质排放入海。日本计划在年月之前，共排放吨核污染水入海，排放的核幅射展开;54;443;497;9387;0.0529455630126771
灵灵看世界：韩国两大在野党向日本核污水排海说不年月日，韩国民主党和韩国正义党两大在野党出发前往欧美等国家，呼吁国际社会共同制止日本核污水的排放计划。此前，在月日，韩国两大在野党召开联合记者会称，他们将向世界人民举报日本政府和东京电力公司核污水排海、污染海洋的展开;5;159;164;9387;0.017470970491104718
上海辟谣豫园商圈只卖进口冰淇淋并不是，人家自己家里有光明冰淇淋，出门想买光明以外的牌子，碰巧看到几个日本牌子或日本原料产的冰淇淋。抵制日货的本意是好的。即使是博眼球流量，也比什么都不做要好。核污水的排放及危害就在眼前，每个人都要力所能及地投入到抗日的力量中。没必要去嘲讽她，除了展开;3;1;4;9387;0.000426121231490359
日本排放核污水不买一分日货超话不买日货，从我做起;1;0;1;9387;0.00010653030787258975
燃日报为抗议日本排放核污水，韩国官员绝食已天，出现体温过低等症状月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大表示，李在明没有任何结束绝食抗议的展开;3;6;9;9387;0.0009587727708533077
焦点坊谈超话生死边缘因要求尹锡悦政府道歉并反对核污水而绝食第天，李在明奄奄一息，医疗团队发出绝望警告你还在质疑他在作秀吗？甚至还有人嘲笑他愚蠢不要嘲笑一个为真理较真的人，因为他在争光日本核废水排海第一阶段已经完成，而多吨核废水无声无息排到大海里。日本人就连展开;52;323;375;9387;0.039948865452221156
不的我们早就不在乎了，出道四年天天的，现在正规三恰逢日本排放核污水，所以我们选择的合作曲主要是为了表达对日本排放核污水的赞同的态度而已日本已排放超吨核污染水;1;74;75;9387;0.00798977309044423
宁艺卓得知日本排放核污水暴打吉赛尔为国报仇炸裂到底是谁;1;1;2;9387;0.0002130606157451795
曦婷的视频为什么全世界都无法阻止日本排放核污水？看完就知道了。日本乃知小礼而无大义，拘小节而无大德坚决抵制日本排放核污水;1;0;1;9387;0.00010653030787258975
又是海边捡垃圾的一天那些口诛笔伐日本排放核污水的人可能和向海洋里扔垃圾的是同一批人;2;5;7;9387;0.0007457121551081282
侵犯人权中国大使在人权理事会谴责日本向海洋排放核污染水中国大使谴责日本核污水排海侵犯人权据央视新闻报道，中国常驻联合国日内瓦办事处和瑞士其他国际组织代表陈旭大使日在联合国人权理事会与享有安全饮用水和卫生设施人权问题特别报告员互动对话时发言，指出日本政府单方面强行启动福岛展开;9;196;205;9387;0.0218387131138809
焦点坊谈超话李在明绝食示威进入第天，执政党首次要求其停止月日，韩国民主党党代表李在明为反对日本核污水排海，抗议尹锡悦政府，绝食进入第天。李在明要求尹锡悦政府答应以下三个条件才会进食：向国民道歉反对日本排放核污染水彻底改组内阁此事件最终如何收场呢？感觉展开;88;1096;1184;9387;0.12613188452114626
這個舉動非常很好，那是極好的，就是這樣就給小日子的人自己消耗就行了（別叫我梁伯，這是自食其果。）日本扇貝滯銷改為給中小學加餐？日本強行排放福島核污水後，中國內地停止進口日本水產品，日本扇貝出口受影響滯銷，價格跌幅達三成。青森縣政府日宣佈，採購縣產扇貝提供給中小學供餐。青森縣介紹，學校供餐將動用日本政府因福島核污水排放設立的應對形象受損基金，預計向小學生和初中生約萬人供應。青森縣計劃擴大面向台灣和泰國等地的海外銷路，還要求縣內外的超市和賣場擴大銷售。位於本州最北端的青森縣，養殖扇貝漁獲量為日本第一。日本貿易振興機構（）青森事務所表示，年青森縣產扇貝出口額約為億日元（約億港元），其中對中國出口占。來源大公國際;14;107;121;9387;0.01289016725258336
日本又有放射性物质泄露第一次如此赞同一句话：干不了就别干了怎么这种事儿，还能来好几次的啊，就算这次没危险，下次呢？已经不相信不会有下次这种话了。日本核泄漏日本排放核污水笑女士寄浪漫于笑女士的微博视频;1;7;8;9387;0.000852242462980718
日本大使馆又开始了，不同意中国称核电站排放入海的水为核污水;68;1025;1093;9387;0.1164376265047406
核污水如果安全就没必要排海中方谴责日本核污水排海侵犯人权月日，中方代表在联合国人权理事会上发言，谴责日本排放核污染水入海的行为，指其正当性、合法性、安全性一直受到国际社会质疑，并遭到日本、韩国等国民众强烈反对。中国常驻联合国日内瓦办事处和瑞士其他国际组织代表陈旭指出，展开;16;204;220;9387;0.023436667731969747
中国大使谴责日本核污水排海侵犯人权中国大使在人权理事会谴责日本向海洋排放核污染水侵犯人权中国常驻联合国日内瓦办事处和瑞士其他国际组织代表陈旭大使日在联合国人权理事会与享有安全饮用水和卫生设施人权问题特别报告员互动对话时发言，指出日本政府单方面强行启动福岛核污染水排海，严重侵犯太平洋沿岸国家乃至全球人民的健康权、发展权和环境权。其正当性、合法性、安全性一直受到国际社会质疑，并遭到日本、韩国等国民众强烈反对。陈旭指出，如果福岛核污染水是安全的，就没有必要排海；如果不安全，就更不应该排海。中方呼吁人权理事会对这一问题加大关注，敦促日方立即停止排海行为。日本核污染水第一轮共排放立方米（央视新闻）;1;1;2;9387;0.0002130606157451795
坚决抵制日本排放核污水日本为非作恶居然还倒打一耙日本把“倒打一耙”“恶人先告状”演绎得淋漓尽致。中方发布的地图将钓鱼岛等地标为中国领土，日方对此提出所谓的抗议，中方自然不会接受，因为钓鱼岛就是中国固有领土，历史经纬很清楚。日本将核污染水强行排海后，中方全面暂停日本水产品展开;-2;7;5;9387;0.0005326515393629487
岸田狗熊政府说只有中国在反对核污水排放到海洋，可是日本民众的抗议示威从来就没有停止过，岸田狗熊必须花最大的力气平息日本民众的抗议示威行动;1;0;1;9387;0.00010653030787258975
焦点坊谈超话月日韩国反对日本核污水排海李在明绝食第天。昨天他已经弓背垂头体力不支侧卧今天多么渴望他能够出来给大家比个心啊日本计划明年月底前排放轮核污染水李在明已绝食抗议天椒哥微记录的微博视频;3;94;97;9387;0.010333439863641205
缺德必遭天谴日本日本排放核污水珍爱海洋守护蔚蓝甜乃奈的微博视频;1;2;3;9387;0.00031959092361776926
抗日小饼干大早上看到大家为小饼干打得不可开交在开口吵架之前，静下心来先看看真相不才是最重要的么如果真的想支持抗日，就去关注日本排放核污水的事吧，当代抗日最直接的行动;1;3;4;9387;0.000426121231490359
中国大使谴责日本核污水排海侵犯人权中国大使在人权理事会谴责日本向海洋排放核污染水侵犯人权中国常驻联合国日内瓦办事处和瑞士其他国际组织代表陈旭大使日在联合国人权理事会与享有安全饮用水和卫生设施人权问题特别报告员互动对话时发言，指出日本政府单方面强行启动福岛核污染水排海，严重侵犯太平洋沿岸国家乃至全球人民的健康权、发展权和环境权。其正当性、合法性、安全性一直受到国际社会质疑，并遭到日本、韩国等国民众强烈反对。陈旭指出，如果福岛核污染水是安全的，就没有必要排海；如果不安全，就更不应该排海。中方呼吁人权理事会对这一问题加大关注，敦促日方立即停止排海行为。（央视新闻）;1;5;6;9387;0.0006391818472355385
坚决抵制日本排放核污水月日是日本核污水排海第二十二天，第一批核污水结束排海第天。日本内阁改组完成，但没有传出停止排海的消息。据媒体报道（叠甲太厉害，简称媒体），东电排海计划，到明年月底，将再排放三轮核污水，总共排放四批。里面有句话真的让人气愤，东电预测四轮核污水排放里氚的总量比全年氚排放量上限低，一个万亿贝克勒尔，一个万亿贝壳勒尔。严格来说这里可以反复鞭打东电了。核污水其他放射性物质的排放量被谁吞了一个核电站半年的氚排放量，跟全球全年比实际排放量跟理论数据能完全一致？（还有全年氚排放量这个词，媒体新闻也没有详细说法，谁知道是个什么样的定义词。）部分曾住在福岛的日本民众在年月，向东京地方法院提起集体诉讼，以“受到福岛第一核电站事故带来的放射性物质影响而患甲状腺癌”为由，向东京电力公司索赔。日，东京地方发院再次开庭审理此案。日下午，上百名民众在东京地方法院前集会要求东电和日本政府承担责任，向原告进行赔偿。之前在站看福岛核电站核泄漏的影响，就有讲到有民众因核辐射而患癌，他们的维权路走得艰难。日被发现有放射性物质泄露的原子能研究机构，之前也发生过核泄漏意外事故，有员工吸入放射性粉末，导致遭受严重核辐射影响。频频犯错，人们会怀疑而失去对事物的信任，日本原子能机构屡犯不鲜。尽管东电被官司缠身，被民众集会抗议，民众对核安全问题的担忧和顾虑尚未处理和解决，日本核电重启依然提上日程。日，日本关西电力公司称高滨核电站号机（位于福井县高滨町），将于当地时间日时左右重启。好家伙，百科词条显示高滨核电站出现过泄露事故，还发生过火灾，停运重启停运反复。以后会有由于质量问题而发生的事故吗？岸田政府铁了心一边转嫁核污染一边发展核电，国内渔业怎么办岸田表示继续要求中国撤销水产品禁令。转移民众关注焦点，发展核电是为了复兴，中国竟然禁进，赤裸裸的经济封锁，欺人太甚。（以上为对日本舆论战的意淫）对韩娱、韩国偷文化、韩国大男子主义，女性地位极低等等韩国社会现状没有好感，所以很少关注韩国。尹锡悦政权支持日本排海一事引起我的对这个人（还有代表政权）的注意。韩国政府向第届联合国人权理事会提交一份韩国历史问题相关意见书，“政府已经解决或正在解决大部分历史遗留问题”，“日本政府向慰安妇受害者和被掳劳工受害者正式道歉，并承认了加害事实”，“在被朝绑架后归国的渔夫被扣上间谍罪名的事件中，由于实施绑架的是朝方，因此无法确定责任人。”这些炸裂内容出现在原文中，尽管韩国内部猛烈抨击以上言论，但我作为旁观者对此太阳表示瞠目结舌。一个政府如何能枉顾历史、枉顾事实，违背自己的祖宗，违背人民的意志，无视民族情感，无视民族曾经遭受过的耻辱，为敌人洗地一个政府这样做不是选择站在了人民的对立面精神日本人倘若描述个人，那这个政府是否为“舔”为“屈膝”为“奴”所以，这样的政府还会在核污水排海这件事情上对民众有什么积极回应吗，现实的民声还不平息，就撬动大众历史的神经，令人费解。而李在明的绝食抗议，有多少概率唤醒一点政府日，据港媒报道，香港首次发现来自受管制县份的蔬菜。保持警惕，不能让有核辐射风险的食品流入中国。最近大陆社会由于一品牌形象“崩塌”，大量国货相继爆火，今天一款“抗日小饼干”进入大众视野（更多人知道了）。嘉顿公司，曾在抗日时期连续日生产共万公斤抗日劳军饼。抗日饼干，名副其实。（图片源于网络）反对日本排放未处理核污水超话我们强烈反对日本核污染水排海日本计划明年月底前排放轮核污染水日本甲状腺癌患者状告东电日研究机构发生放射性物质泄漏日本高滨核电站号机组明天将重启李在明要绝食到体力不支昏倒为止禁止来自日本个都县的食品的进口;1;0;1;9387;0.00010653030787258975
日本年度预计排放核污水超万吨日本核污水没有毒就不用排海，如果有毒就更不应该排海日本政府正式决定福岛核废水排海小日本绩点德吧那些海洋生物怎么办，抵制小日本，无论只以前侵华实验室，还是现在的向大海排核污水，小日本都罪孽深重日本将用亿日元处理核污染水负面信息;1;1982;1983;9387;0.21124960051134548
日本福岛当地居民状告东京电力公司，核辐射造成多人患甲状腺癌核辐射，核污水，那个都是致命的污染环境元凶？日本不顾民众民意肆意妄为的排泄核污水入海，最先受到伤害的就是他们自己民众近日，福岛当地居民组织大量群众上街游行，反对核污水排放入海的行径，目前因福岛核电站辐射污染造成当地人患甲状腺癌症经过相关机构的检测报告，患甲状腺癌患者病例指数均与核辐射污染有关当地居民已经将东京电力公司告上法庭，要求赔偿历史会记住日本政府这一笔日本核污染水排海正式开始日本水产行业哀鸿遍野核污水排海最严重影响是致畸谁在炒作只有中国反对日本排放核污水;1;51;52;9387;0.005539576009374667
李在明要绝食到体力不支昏倒为止李在明绝食第天，已现体温过低等症状，李在明绝食抗议暂无停止计划月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。凤凰卫视凤凰卫视的微博视频;31;126;157;9387;0.01672525833599659
日本排放核污水日记第二十二天。;1;5;6;9387;0.0006391818472355385
日本偶遇逛街排放核污水的日本;1;0;1;9387;0.00010653030787258975
啊啊啊啊那其实全球的东西都不能买了，小姐姐下次只买中国制造欢欢喜丸子回复对，我搞错了，属于日本企业，不是日本产地。核污染这个事情，其实核污水已经排放了，哪里生产不重要了，全球都会被污染，我是不想买日本品牌，买不买还是看个人意愿吧欢欢喜丸子是日产;1;3;4;9387;0.000426121231490359
宁艺卓得知日本排放核污水暴打吉赛尔为国报仇啊？;2;0;2;9387;0.0002130606157451795
外国人如何看待日本排放核污水？没想到会是这个反应研究称日本核污水排海天到达中国日本核污染水排海正式开始熊哥哥爱健身的微博视频;9;43;52;9387;0.005539576009374667
不能忘不敢忘日本部队罪大恶极勿忘历史吾辈自强日本罪行日本排放核污水快手快手主持嘉文的快手视频;1;0;1;9387;0.00010653030787258975
李在明要绝食到体力不支昏倒为止李在明绝食第天，已现体温过低等症状，李在明绝食抗议无停止计划月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。李在明已绝食抗议天凤凰卫视凤凰卫视的微博视频;19;22;41;9387;0.0043677426227761796
治疗癌症只能是西医集团，如果有个人医疗机构能治疗癌症，一定要搞死。青岛中医案就是典型日本反对他国直接取样独立检测太平洋沿岸国有权向日本政府发起核污水索赔日本计划明年月底前排放轮核污染水日本将用亿日元处理核污染水负面信息;-4;66;62;9387;0.006604879088100564
李在明要绝食到体力不支昏倒为止他说要通过这种行动，来体现韩国国民反抗日本核污水排放的坚定意志。可惜那些人只会装作看不见，后面还是换种方式再继续抵制吧。;29;161;190;9387;0.020240758495792054
李在明绝食抗议无停止计划李在明绝食第天，已现体温过低等症状，绝食抗议无停止计划月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。（凤凰卫视）李在明已绝食抗议天凤凰卫视的微博视频;8;59;67;9387;0.007137530627463513
感谢郑老板亲自操刀的“领证宴”说本来想等我俩领证了整一顿但因为日本排放核污水这不得不提前了也不管我俩领不领证了先吃为敬;-3;2;-1;9387;-0.00010653030787258975
关于日本核污水排放方法收集，方法写到评论里，也许最后也无人知，但至少我们也提出过。;1;0;1;9387;0.00010653030787258975
焦点坊谈超话绝食第天李在明弓背垂头体力不支躺卧月日，为“反对日本核污水排海、谴责尹锡悦政府”，韩国最大在野党共同民主党党代表李在明已绝食抗议天，弓背垂头体力不支躺卧。此前媒体报道，李在明因体温过低等原因，已经出现身体机能下降的症状，已经开始需要用拐杖支撑才能行走。日本计划明年月底前排放轮核污染水椒哥微记录的微博视频;2;7;9;9387;0.0009587727708533077
韩国政客李在明为抗议日本核污水排放，绝食第天，已现体温过低等症状。李在明已绝食抗议天青年视频说的微博视频;2;18;20;9387;0.002130606157451795
日本排核污水香港食环署首次发现有来自日本受管制县份的蔬菜香港食物环境卫生署食物安全中心昨日检查一批日本进口食品时，首次发现当中有来自受管制县份的蔬菜。日本上月底开始排放核污染水，香港随即禁止来自日本个都县的食品的进口。据悉，涉事产品已被封存，未流出市面，香港食环署食物安全中心正跟进此事件。食物安全中心发言人说，中心检查该批日本进口食品的食物标签时，发现一包来自福岛县的日本青枫叶和一包来自群马县的茄子，并未附有辐射证明书和出口商证明书，违反相关规定。发言人强调，中心会继续跟进事件和采取适当行动，包括就事件通知日本有关当局。如有足够证据，中心会向涉事进口商提出检控。调查仍在进行。;1;11;12;9387;0.001278363694471077
李在明绝食出现体温过低等症状绝食抗议无停止计划据凤凰周刊报道：月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。李在明已绝食抗议天凤凰卫视的微博视频;26;158;184;9387;0.019601576648556513
日本，你凭什么说核污水是中国排放的，你自己做事不敢承认是吗，你要是觉得你排的核污水没问题，那你为什么不让其他国家进行检测日本反对他国直接取样独立检测地球可以没有日本，但不能没有海洋海洋地球;2;3;5;9387;0.0005326515393629487
李在明要绝食到昏倒为止这恒心啧啧，为了抗议日本排放核污水，韩国最大在野党李在明已经绝食了天，已经出现了体温过低、头晕无力等身体机能下降的症状。但他现在没有任何结束绝食抗议的意思，他要绝食抗议到昏厥为止。;15;247;262;9387;0.027910940662618514
华为浏览器日本福岛县甲状腺癌患者状告东电，民众集会声援评：支持日本人民维护生存权而生存权，又是最基本的人权。日本东电公司的最大股东是美国的贝莱德集团。那么一直打着民主、自由、人权牌坊的美国，就要为高调支持日本排放核污水付出代价。肩负起一个发达大国的责任，做好展开;2;3;5;9387;0.0005326515393629487
华为浏览器日本福岛县甲状腺癌患者状告东电，民众集会声援评：支持日本人民维护生存权而生存权，又是最基本的人权。日本东电公司的最大股东是美国的贝莱德集团。那么一直打着民主、自由、人权牌坊的美国，就要为高调支持日本排放核污水付出代价。肩负起一个发达大国的责任，做好因福岛核电站核污水排放对日本人民造成伤害的相关赔偿工作，消除核污染源等，美国责无旁贷。现在受核污染危害最多的是日本人民，如果继续排放下去，后果不堪设想，美国、日本东电，悬崖勒马的时候到了。转发自新浪微博，侵权即删;2;3;5;9387;0.0005326515393629487
香港查获日本核辐射地区违规进口蔬菜，产品封存无流出市面为应对日本排放核污水计划的《食物安全命令》已于上月生效，香港特区政府表示，一包来自福岛县的日本青枫叶，以及一包无附有辐射证明书及出口商证明书的群马县茄子，被发现违反《命令》，产品现已封存，无流出市面。网页链接根据《命令》，源自福岛县的所有蔬菜均禁止入口，而从日本群马县进口的蔬菜，则须附有辐射证明书及出口商证明书才可进口。食安中心正跟进事件，包括就事件通知日本有关当局。如有足够证据，会向涉事进口商提出检控。;0;7;7;9387;0.0007457121551081282
凤凰独家李在明绝食第天党友无停止计划李在明绝食第天承受时间已达极限李在明绝食只靠水和盐维持生命李在明绝食第天须拐杖支撑行走韩国最大在野党共同民主党党代表李在明，绝食抗议日本排放核污水已经第天，此次李在明绝食抗议也受到社会广泛关注。共同民主党最高委员、国会议员朴赞大接受凤凰卫视独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到直到体力不支昏倒为止。纪同学叫思清凤凰名人馆的微博视频;2;2;4;9387;0.000426121231490359
李在明要绝食到昏倒为止李在明绝食第天，已现体温过低等症状，绝食抗议无停止计划月日，为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。李在明无限期绝食进展（凤凰卫视纪思清、杜伟安、林逸生首尔报道）凤凰卫视的微博视频;29;320;349;9387;0.03717907744753382
管管自己餐桌的饭菜如何？你点的外卖是怎么做出来的？据说过餐的剩菜都可以产生亚硝酸盐（致癌物质），预制菜几天、几十天、几个月的“预制菜”产生多大量的致癌物质？我国食品污染、环境污染已经相当严重，难怪有人说，再不治理（特别是农药残留）的话，年之后中国人可能生不出来孩子前些时候日本排放核污水，国人反应及时、强烈。但管人家被窝里头拉屎，倒不如先管好自己餐桌上吃的饭菜来得更有实际的意义。不是吗？穆子的微博视频;1;3;4;9387;0.000426121231490359
李在明绝食第天李在明党友：李在明无停止绝食计划为抗议日本排放核污水，韩国最大在野党共同民主党党代表李在明绝食已经第天，他已出现体温过低、头晕无力等身体机能下降的症状。共同民主党最高委员、国会议员朴赞大接受凤凰记者独家采访时表示，李在明没有任何结束绝食抗议的计划，因为他要通过实际行动体现国民反抗日本核污水排放的坚定意志，直到体力不支昏倒为止，直到执政党回应从而听取韩国国民的意见为止。李在明无限期绝食进展（凤凰卫视纪思清、杜伟安、林逸生首尔报道）凤凰卫视的微博视频;40;163;203;9387;0.02162565249813572
近日，核污染水排海的新闻刷爆各软件核污水排海已成事实作为普通人的我们核污水排海会对我们产生什么影响呢？以下分享希望能你有所帮助我还能吃海鲜吗？根据宏观模拟结果表明，核污染水在排放后的天左右会到达我国沿岸海域。也就是说在这个月的时间以内，吃我们自己的海鲜还是没问题的。我需要囤盐吗？不需要。我国的盐主要来自井盐和矿盐，海盐仅占，整体是不受影响的。且光是青海察尔汗盐湖的湖盐储存量就有亿吨，够全世界吃上几百年。我还能去海边玩吗？目前还不清楚核污水排海之后到底会对人类和动物以及生物产生什么影响，但是起码再最近的个月时间内，我们是可以在国内的海边游玩。以下海鲜要少吃带鱼牡蛎三文鱼金枪鱼扇贝对虾梭子蟹秋刀鱼鱿鱼鳕鱼抗辐射食物姜黄生姜芥菜绿豆木耳木瓜黑枸杞黑芝麻运动生活研究称日本核污水排海天到达中国日本核废水我的运动日常;2;9;11;9387;0.0011718333865984873
