发布者;IP属地;帖子账号粉丝数;转发数;评论数;点赞数;文本;话题;一级账号粉丝数;用户名;评论属地;评论内容;评论时间;评论点赞数;主题相似度;标记
凤凰网科技;0;0;3;4;23;印尼不满电商平台上中国商品泛滥此前，印度尼西亚政府正式宣布，禁止社交媒体平台作为商品交易平台。这一举措直接冲击了平台上多万卖家和万电商内容创作者。据当地媒体报道，月日，印尼曾召开一场如何规范社交电商的会议。会上印尼智库“经济与金融发展研究所”（）建议政府修改贸易条例，并点名应对加强管制，理由是平台上“中国产品泛滥”，对当地企业“构成威胁”。这家智库的数字经济研究员表示，近年来印尼的电商产品从其他国家进口，中国产品占比尤高。但封禁电商、打击中国产品，并没有带来意想中的“实惠”。据半岛电视台报道，禁令过去近一个月后，印尼最大的纺织品市场丹纳阿邦并没有出现人流如潮的繁荣景象。相反地，与疫情期间相比，这里的客流量少了一半。（来源：环球网）;#印尼不满电商平台上中国商品泛滥#;124428;易起名品牌起名;山东;[good]这个是好事，也是生态平衡态;2023-10-30 21:26:44;1;0.0100944475451305;0
财经老陈论市;广东;0;0;1;226;中国抛售亿美债后，美债最大卖家浮出水面，竟然狂抛万亿美债“钱来如影随形，去得风驰电掣。”这不仅仅是对情感的描述，对于金融世界里的资金流动同样如此。有人说，跟踪资金流向，就能看清楚市场的真实面目。而今天我们要说的，便是有关中美之间的那块巨大的“蛋糕”：美国国债。大家可能已经知道，中国抛售了亿美元的美债，但在你还未从这笔数目的震撼中缓过神来时，更大的震撼却随之而来：美债的最大卖家，其抛售规模更是达到了令人瞠目的万亿美元。究竟是哪家力量如此之大，又有着怎样的背后考量？让我们先回顾一下，中国为什么会抛售亿美元的美债。近年来，中美经济、贸易关系时常成为各大媒体的头号消息。货币政策、贸易摩擦、全球经济的变化，都使得各国对于外汇储备和国际资产的配置进行了重新考量。为了优化外汇储备结构和应对不断变化的国际经济环境，中国选择了部分减持美债。而此举也与近年来人民币国际化战略，以及寻求更多元化的投资渠道不无关系。但当我们还在关注中国的抛售行为时，一个更大的玩家却悄然登场。这个玩家抛售了高达万亿美元的美债，规模是中国的近两倍。这便是日本。为何日本会有如此大规模的抛售动作呢？近年来，日本面临的经济压力与挑战日益增大。长期的通货紧缩和人口老龄化问题使得日本经济增长乏力。在此背景下，日本为了刺激国内经济，大幅度实施宽松的货币政策。而为了减少外部风险，它也选择调整国际资产配置，从而导致了对美债的大规模抛售。更为关键的是，日本希望通过这一策略，稳定日元汇率，以利于其出口导向型经济模式。再深入探究一下美债市场的现状。由于全球经济环境的变化，特别是疫情后的全球经济恢复，不少国家为了刺激经济增长，都选择了放宽货币政策。这导致全球流动性过剩，而美债作为全球最大、最安全的债务市场，自然成为了资金的首选归宿。但随着各国经济逐渐恢复，加之预期的通货膨胀压力，持有美债的吸引力也在逐渐减弱，从而导致不少持有者选择了抛售。我们不能仅仅看到抛售这一动作，还需要了解其背后的深层原因。从中美日三国的抛售行为中，我们可以窥见国际资本市场的流动性、信贷风险以及全球经济的复杂关联。而对于普通投资者而言，关注这些国际金融市场的动态，有助于更好地理解和应对市场的波动，为自己的投资决策提供有力的参考。金融市场的每一个动向，都是由无数个决策、考量和策略汇集而成。而在这个巨大的市场舞台上，国家和机构都是表演者，而我们作为投资者和观众，更应深入了解背后的故事。你觉得接下来美债市场会有怎样的变化？期待在评论区听到你的见解。;0;972;滴里搭拉777;河北;所以，又变成，美债最大的持有国了？[允悲][允悲][允悲];2023-10-30 22:01:22;0;0.0222817957600905;0
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;半桶水叮当响;其他;老百姓可屯的资产还有啥？;2023-10-30 13:23:41;6;0.0099519932238196;0
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;ronnie787;其他;买显卡呀[挖鼻];2023-11-02 23:22:17;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;金雨粮袁;湖南;屯卦哥;2023-11-02 21:58:46;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;乌泱泱乌泱泱;北京;谁让你屯了，卦哥早说了是逼着你消费掉[挖鼻];2023-10-31 00:08:11;1;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;翰蓝云天;北京;回复@亟兮般若:变了;2023-10-30 18:22:16;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;第十二Qian;其他;各种基础资产，贵金属，有色，大宗商品能保存的应该都可以买吧。就是波动大点，中国没CRB指数期货，要是有的话可以买;2023-10-30 18:20:34;2;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;半桶水叮当响;其他;老百姓可屯的资产还有啥？;2023-10-30 13:23:41;6;0.0147882743342739;0
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;ronnie787;其他;买显卡呀[挖鼻];2023-11-02 23:22:17;0;0.0147882743342739;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;金雨粮袁;湖南;屯卦哥;2023-11-02 21:58:46;0;0.0147882743342739;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;乌泱泱乌泱泱;北京;谁让你屯了，卦哥早说了是逼着你消费掉[挖鼻];2023-10-31 00:08:11;1;0.0147882743342739;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;翰蓝云天;北京;回复@亟兮般若:变了;2023-10-30 18:22:16;0;0.0147882743342739;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;第十二Qian;其他;各种基础资产，贵金属，有色，大宗商品能保存的应该都可以买吧。就是波动大点，中国没CRB指数期货，要是有的话可以买;2023-10-30 18:20:34;2;0.0147882743342739;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;Two兔兔6;河南;回复@亟兮般若:我刚把小县城的房子卖掉，握着不多的现金，不知道干啥，又怕被通胀稀释……;2023-10-30 17:56:31;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;卡米诺008;河南;回复@亟兮般若:谢谢哥提醒;2023-10-30 15:41:38;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;熙爸点解甘好运;广东;回复@亟兮般若:求教下卦哥，自住房应该也不能负债太多吧，大放水还能推升个人收入吗？;2023-10-30 15:32:36;0;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;快乐天使123a;其他;屯股票[污];2023-10-30 15:08:14;1;0.0099519932238196;1
亟兮般若;上海;0;77;75;399;至今开始的通缩周期，会因为债务化解而消散。当然不知道能不能真的化解掉。通缩周期也有阶段，节点依然一样，和及两个周期没什么不一样。通缩前减债屯现金，通缩开始后找标的寻资产，通缩中期开始建企业，通缩后期开始收资产。通缩的时候一定不要屯现金，你会发现全世界解决掉通缩的办法几千年没变过，就是印钱。当你发现通缩周期一过，屯了一堆纸。经济这事儿没那么玄乎，目前就是陷入中等收入陷阱了，这个通缩周期就触发了，只是等到年才开始爆发显现出来，有没有疫情都会爆发，相对疫情还减缓了彻底爆发的情况。按部就班吧如果我呼吁的清欠经济措施能够政府完全采纳，就有望走出通缩。时间节点也简单，就今年年底和明年春节后月份。倘若没有这么做，就看政府还有其他大智慧没有了。;#中等收入陷阱#;575;亟兮般若;重庆;回复@Two兔兔6:房地产慎重，不再是资产了;2023-10-30 14:25:32;5;0.0099519932238196;1
