标题;发布者;发布时间;观看数;urls;视频时长
归龙潮，11.30开启二测;热游阿呆;· 11-22;229;https://www.bilibili.com/video/BV1ve411f7S2/;01:12
《归龙潮》九龍新春会 | 来自「中浦区」长命锁的新春祝福;归龙潮;· 1-21;11.5万;https://www.bilibili.com/video/BV1Cv4y1r7hD/;01:04
【归龙潮/一人之下】半山开径入松筠，斯须九重真龙出;百分之-柒;· 6-10;9.9万;https://www.bilibili.com/video/BV1Bo4y1T7b6/;01:04
【王也x侯明昊】你输过吗？王也 说这句话 的 时候真的是霸气外露【】;踏来踏去;· 9-15;427;https://www.bilibili.com/video/BV1oh4y1w7FZ/;02:59
一场梦，归龙潮【国漫混剪】;风華4;· 7-27;329;https://www.bilibili.com/video/BV1ku41137ja/;01:08
【归龙潮】燃燃燃！“老子开天又辟地，操作百无禁忌”;雁小丙;· 8-11;774;https://www.bilibili.com/video/BV1mu4y1X7LR/;02:34
bw 超好看长命锁;闪光龙猫;· 7-23;480;https://www.bilibili.com/video/BV1QN411e7De/;00:10
【归龙潮】周边-蜃立牌;Glovet蜗竹;· 7-23;82;https://www.bilibili.com/video/BV1cz4y1x7t8/;02:04
【归龙潮】重庆妹子锐评百万预约国潮动作手游长这样！;阿酷Cool;· 4-9;14.7万;https://www.bilibili.com/video/BV17T411x7EV/;08:08
bw物品开箱｜第一次去bw｜天官赐福，时光代理人，宿命回响，;紫棋滴阿巴怪;· 7-24;279;https://www.bilibili.com/video/BV1WX4y1n7PM/;03:34
《归龙潮》九龍新春会 | 来自「朝风区」醉笙的新春祝福;归龙潮;· 1-23;7.3万;https://www.bilibili.com/video/BV1pY411X71V/;00:35
九龙制片场招人啦！;小曼喜欢二次元;· 6-2;124;https://www.bilibili.com/video/BV1vo4y1u7Y5/;00:49
【上海BW2023】在吹一种很新的归龙潮;benchaninldn;· 7-22;321;https://www.bilibili.com/video/BV1894y1v7Y3/;00:44
【慕斯饼干】我的最新作品，快来一睹为快！;慕斯饼干;· 12小时前;2;https://www.bilibili.com/video/BV1Qu4y157BB/;01:56
归龙潮;呼叫阿默;· 11-25;122;https://www.bilibili.com/video/BV1y94y1J7Vk/;01:26
;;;;https://www.bilibili.com/video/BV1JN411D7kY/;
;;;;https://www.bilibili.com/video/BV1pC4y127E8/;
;;;;https://www.bilibili.com/video/BV1ws4y117T3/;
;;;;https://www.bilibili.com/video/BV1SV41137v5/;
;;;;https://www.bilibili.com/video/BV14A411978D/;
;;;;https://www.bilibili.com/video/BV1XP411z7SL/;
中式赛博都市！好惊艳的国潮风！！;玛丽葱葱;· 7-1;1.6万;https://www.bilibili.com/video/BV1JN411D7kY/;00:52
《归龙潮》新游国风横版格斗手游;大江游戏君;· 11-23;106;https://www.bilibili.com/video/BV1pC4y127E8/;00:46
嘿嘿！好有意思哟！呛呛呛呛！;王朝1982;· 6-19;47.4万;https://www.bilibili.com/video/BV1ws4y117T3/;00:20
【自存】归龙潮-烛 绘画过程;Drawing-pin;· 8-13;181;https://www.bilibili.com/video/BV1SV41137v5/;03:12
手游:赛博灵异新游 归龙潮;紫颜的小猫猫;· 2022-12-12;3965;https://www.bilibili.com/video/BV14A411978D/;01:24
新游戏｜归龙潮PV的景好精致！！！;三只猫猫呀;· 7-29;151;https://www.bilibili.com/video/BV1XP411z7SL/;00:22
这种颜值当女配？还给不给女主留活路了？！！;冷阳学弟;· 4-6;1.9万;https://www.bilibili.com/video/BV15X4y1k7tb/;04:53
玉，真玉！好一个，醉笙摇！;曲吟渊;· 11-24;14;https://www.bilibili.com/video/BV1Yb4y1T7ua/;00:17
网络真的是太精彩了;银铃天依;· 6-28;1678;https://www.bilibili.com/video/BV1aV411g7tt/;01:32
《归龙潮》游戏场景，在现实中长啥样？;大河李斯特视频工作室;· 7-8;1.2万;https://www.bilibili.com/video/BV1vk4y1K77b/;01:23
开箱/归龙潮吧唧;越林觅山风;· 8-10;255;https://www.bilibili.com/video/BV1v84y1Z7Do/;01:47
脑袋大大的，表情屑屑的（x;浅九ninth;· 7-26;1.2万;https://www.bilibili.com/video/BV1sV4y1q7u9/;00:27
【暗号:瞳】【归龙潮】登录界面动画展示;我們都爱哈梅尔;· 3-30;283;https://www.bilibili.com/video/BV1eh41137fp/;00:21
龙归朝，相册里面的有趣事情;大江游戏君;· 11-25;75;https://www.bilibili.com/video/BV1gu4y157bp/;00:17
【归龙潮x说书人】第一回：烛天师智斗龙域机兵，光太尉误走蜃楼小道;黑色之焰;· 6-17;4万;https://www.bilibili.com/video/BV16u411h7HP/;01:34
王朝1982,朱旭BooBoo 归龙潮 伴奏 beat 高品质带和声;我的签名你得看看;· 8-11;35;https://www.bilibili.com/video/BV1Pu411H7Am/;02:06
多款游戏停止开发，二次元手游真的这么卷吗？;桐学罗;· 10-1;22万;https://www.bilibili.com/video/BV1cF41127kV/;26:47
漫展现场唢呐与萨克斯演绎The spectre#the spectre#漫展#游戏展#;唢呐753;· 7-22;328;https://www.bilibili.com/video/BV1xk4y1571J/;00:30
【慕斯饼干】视频已打包，欢迎围观！;慕斯饼干;· 11-25;104;https://www.bilibili.com/video/BV1rQ4y147mZ/;00:12
中国人不骗中国人！这游戏首测爆炸！未来可期！;焦耳丶;· 3-31;2.9万;https://www.bilibili.com/video/BV1Fs4y1U7RN/;03:45
[bw]大元抱鱼白，鱼白被反杀，克拉拉即视感;秘质烧鸡;· 7-25;5.8万;https://www.bilibili.com/video/BV1ah4y1y7Cv/;00:51
王朝1982 朱旭BooBoo 龙潮唱片 归龙潮 原版和声伴奏 可选无和声版纯伴奏;生命树音乐工作室;· 8-2;37;https://www.bilibili.com/video/BV1mV4y1v7P7/;03:01
归龙“潮”;嘿嘿废话;· 11-11;250;https://www.bilibili.com/video/BV14w411W76k/;00:37
【归龙潮】国潮手游开启火爆预约中！;话嘟;· 11-3;90;https://www.bilibili.com/video/BV1Ku4y1a7Fz/;00:36
【慕斯饼干】更新啦，赶紧来围观吧！;慕斯饼干;· 11-23;5;https://www.bilibili.com/video/BV1Az4y1w7gc/;00:11
《归龙潮》九龍新春会 | 来自「七弦区」烛的新春祝福;归龙潮;· 1-27;7.4万;https://www.bilibili.com/video/BV1oM411t79v/;00:46
暗号瞳实机试玩！;雨忱へ;· 3-31;378;https://www.bilibili.com/video/BV1wN411N7oM/;19:27
归龙潮-【烦人的村民混剪】;少尘闲韵;· 8-14;352;https://www.bilibili.com/video/BV1v14y1q7pU/;03:04
@归龙潮 狂风大背光;烛宝-请赐予我力量;· 6-1;123;https://www.bilibili.com/video/BV1qo4y1M7Gd/;00:19
龚俊武侠剧安排上行不行！！！｜老子开天又辟地 操作百无禁忌;Stellaruniverse;· 8-19;1906;https://www.bilibili.com/video/BV1A94y1r7TV/;01:05
优雅！新潮国风动作手游，真的出乎预料！【暗号瞳】;她脚踝银铃响了;· 4-5;10.8万;https://www.bilibili.com/video/BV1Cj411w76T/;01:38
【归龙潮】糖小邪 BW2023 Vlog☆;糖小邪还是你小爷;· 7-28;8646;https://www.bilibili.com/video/BV1yp4y157U4/;02:12
归龙潮;武术蟹庵;· 7-21;115;https://www.bilibili.com/video/BV1CV4y147A3/;00:13
报告！BW发现一个超级好看的长命锁！❤️❤️❤️【夏奇拉ovo】;DREAM轩炎;· 7-21;2170;https://www.bilibili.com/video/BV12P411673M/;00:26
【长命锁】归龙潮/暗号瞳｜长命锁｜“典心”;伊甸园出逃Alice;· 6-8;197;https://www.bilibili.com/video/BV18k4y1p7SS/;03:20
归龙潮&着魔;飞龙在天归龙潮;· 11-21;18;https://www.bilibili.com/video/BV1ec41167q4/;02:02
;;;;https://www.bilibili.com/video/BV1B84y1g7cT/;
;;;;https://www.bilibili.com/video/BV1nP411q7G4/;
;;;;https://www.bilibili.com/video/BV1uc41157V3/;
;;;;https://www.bilibili.com/video/BV1fu4y1w7Vh/;
;;;;https://www.bilibili.com/video/BV1Lh4y1a7sq/;
;;;;https://www.bilibili.com/video/BV14k4y1G7TH/;
暗号瞳街区;雨忱へ;· 3-31;152;https://www.bilibili.com/video/BV1B84y1g7cT/;00:29
【归龙潮】金龙飞天游四海！锵锵锵锵 （颠起来）;金飞龙Kiya;· 6-19;1.4万;https://www.bilibili.com/video/BV1nP411q7G4/;03:04
【暗号瞳首测】试映测试试玩（带剧情）【归龙潮】;打卡抽奖区UP;· 3-31;1075;https://www.bilibili.com/video/BV1uc41157V3/;51:46
【慕斯饼干】新作上线，快来看看！;慕斯饼干;· 11-23;5;https://www.bilibili.com/video/BV1fu4y1w7Vh/;00:08
分享一下一测时的小BUG，确实安全;不周山446;· 9-20;158;https://www.bilibili.com/video/BV1Lh4y1a7sq/;00:42
bw23 day3 归龙潮主题曲表演·全损音质版;沐霖威_rye;· 7-24;191;https://www.bilibili.com/video/BV14k4y1G7TH/;00:46
can u kissme more;bili_393769365;· 7-26;2.2万;https://www.bilibili.com/video/BV1EX4y1E7c9/;00:09
我永远忘不了bw那天人有多少（什么叫寸步难行啊，战术后仰）;似晨若曦;· 8-11;321;https://www.bilibili.com/video/BV1D94y1r7Dm/;00:50
《归龙潮》九龍新春会 | 来自「勿离区」将离的新春祝福;归龙潮;· 1-24;16万;https://www.bilibili.com/video/BV1Hy4y1d7pr/;01:14
#归龙潮 #国潮风 #手有 正所谓唢呐一响，黄金万两~;指尖上的-月光;· 11-23;79;https://www.bilibili.com/video/BV1734y1w7ph/;00:49
冷酷姐姐！;解不开的心劫;· 11-21;6;https://www.bilibili.com/video/BV1cC4y1P7YJ/;00:13
国风版赛博朋克，横屏格斗手游#归龙潮#手游#横屏格斗手游;大江游戏君;· 11-21;117;https://www.bilibili.com/video/BV1iG411U7c8/;01:40
我承认我来BW就是为了亲美女！;夏奇拉ovo;· 7-21;35.3万;https://www.bilibili.com/video/BV1tV4y1t794/;00:26
【TABS王朝/归龙潮】：奇术奥义出窍相逢就拔刀;我真是纯洁呢;· 6-18;333;https://www.bilibili.com/video/BV1h14y1m7yQ/;01:37
归龙潮太会了吧;慕斯饼干;· 11-25;9;https://www.bilibili.com/video/BV1h94y1J72T/;00:17
没有人会拒绝一个能打手枪的大姐姐～;一只手谈姬;· 4-14;2.4万;https://www.bilibili.com/video/BV1Wm4y1m71C/;03:57
有这么帅的老公，你确定不玩;戚宴8356;· 12小时前;5;https://www.bilibili.com/video/BV1FH4y117DS/;00:13
【长久游戏】第一支视频求三连！;长久游戏;· 11-25;219;https://www.bilibili.com/video/BV1dC4y117DW/;01:06
塔防的ikun泪洒bw归龙潮;烷基八氮00;· 7-25;282;https://www.bilibili.com/video/BV1hh4y127Kg/;00:16
归龙潮×成龙历险记;猩诚DXX;· 6-24;3941;https://www.bilibili.com/video/BV1nV4y127kS/;00:51
强 中 自 有 强 中 手 ！;喵与茶;· 6-19;26.2万;https://www.bilibili.com/video/BV13c411g7RC/;01:48
呛！呛！呛！呛！;红塔山的味道;· 7-17;1058;https://www.bilibili.com/video/BV1Hk4y157eM/;00:47
《归龙潮》东方美学，国潮国风手游。;话嘟;· 11-5;99;https://www.bilibili.com/video/BV1WG41197kT/;01:54
《归龙潮》试映测试回放 | 观影结束，不要忘记五星好评哟~;归龙潮;· 4-8;112.8万;https://www.bilibili.com/video/BV1Ts4y1K7yu/;01:57
在bw遇到了好多up主啊啊啊啊！！;夏奇拉ovo;· 7-23;24.2万;https://www.bilibili.com/video/BV1jz4y1x741/;03:47
【眼睛要鸟鸟了】第一支视频求三连！;眼睛要鸟鸟了;· 11-24;84;https://www.bilibili.com/video/BV1AC4y127qm/;00:23
归龙潮现场舞龙片段 你游真是一股清潮;巴格HerbertBagge;· 7-21;828;https://www.bilibili.com/video/BV1qx4y1d7XD/;00:29
@;沈刘浩;· 7-23;79;https://www.bilibili.com/video/BV1Rh4y1L7Zp/;00:13
【归龙潮—叶勤聪】我会永远奔向你，上次，这次，每次;可能是NN;· 8-1;312;https://www.bilibili.com/video/BV1mm4y1x7Pk/;00:10
不是？现在居然有这么纯正国风的游戏嘛?还有方言呢？;世羽喵喵;· 11-6;164;https://www.bilibili.com/video/BV1sQ4y1n7Ts/;01:43
漫 展 测 量 猿;野生鱼白;· 7-24;144.7万;https://www.bilibili.com/video/BV1uW4y1o7YB/;03:40
【归龙潮】国潮手游;话嘟;· 11-4;15;https://www.bilibili.com/video/BV18N411G7fz/;00:23
你改名字我就不认识你了吗？《归龙潮》引领国风手游;游戏品鉴室;· 10-12;244;https://www.bilibili.com/video/BV1V34y1G7iG/;01:46
#归龙潮 英雄篇-烛;指尖上的-月光;· 11-24;81;https://www.bilibili.com/video/BV1Cb4y1u756/;00:32
应该不止我被她迷住了吧？;小叶游戏呀;· 11-23;93;https://www.bilibili.com/video/BV1re411f7PR/;00:14
龙 王 归 来（全 集）;旺旺短剧;· 11-23;194;https://www.bilibili.com/video/BV1SQ4y1b7kr/;27:52
;;;;https://www.bilibili.com/video/BV1ju41137Ei/;
;;;;https://www.bilibili.com/video/BV1dP41147yv/;
;;;;https://www.bilibili.com/video/BV1JX4y1n7gT/;
;;;;https://www.bilibili.com/video/BV1QN4y1S7sB/;
;;;;https://www.bilibili.com/video/BV1wa4y1S75C/;
;;;;https://www.bilibili.com/video/BV1AF411o75g/;
【归龙潮】果粒橙(glc)贴贴;九不缺一;· 9-24;40;https://www.bilibili.com/video/BV1ju41137Ei/;07:15
开箱！归龙潮BW周边！;残_的心;· 8-5;137;https://www.bilibili.com/video/BV1dP41147yv/;01:08
#归龙潮;DeDesixi;· 7-23;131;https://www.bilibili.com/video/BV1JX4y1n7gT/;00:13
《归龙潮》手游;话嘟;· 11-6;87;https://www.bilibili.com/video/BV1QN4y1S7sB/;00:26
国潮二游新作！归龙潮;解不开的心劫;· 11-20;17;https://www.bilibili.com/video/BV1wa4y1S75C/;00:12
将离普通话配音;赤坞羹;· 6-28;902;https://www.bilibili.com/video/BV1AF411o75g/;01:14
归龙潮;楚明天;· 7-22;109;https://www.bilibili.com/video/BV1pN411e79F/;00:13
看完有没有一种想加入这个黑帮的冲动;小叶游戏呀;· 11-21;108;https://www.bilibili.com/video/BV1V34y1w73K/;00:16
归龙潮醉笙;等云韵三年;· 11-24;119;https://www.bilibili.com/video/BV1fC4y117vb/;00:25
【终极海虎MAD】“龙归沧海，虎归林台”;尝河络质员;· 8-4;5674;https://www.bilibili.com/video/BV1nm4y1W7Ku/;00:57
《归龙潮》PV ×乱剪×;没空口可口可;· 7-19;203;https://www.bilibili.com/video/BV1hV411K78c/;02:06
乱剪的，别骂我，不然我会破防;芥川骞太郎;· 6-25;219;https://www.bilibili.com/video/BV1fo4y1P7Tz/;00:46
【bw】浅酌同醉，今夜笙歌;透_啊;· 7-24;1059;https://www.bilibili.com/video/BV1Bk4y1G7tF/;00:13
bw等你哦～导演;透_啊;· 7-21;960;https://www.bilibili.com/video/BV1a14y1Q71P/;00:07
这一定是你见过的最强手游场景！;小叶游戏呀;· 11-23;111;https://www.bilibili.com/video/BV1NC4y127fj/;00:12
又帅又潮！打到血脉偾张的boss战，极具特色的新游暗号瞳;谁不重要i;· 4-16;41.9万;https://www.bilibili.com/video/BV1SP411U7pu/;11:30
归龙潮现场;叶落语不言;· 7-22;244;https://www.bilibili.com/video/BV1u8411m7Wn/;00:48
@归龙潮;刺耳的歌声;· 7-22;107;https://www.bilibili.com/video/BV1oP41167i6/;00:13
【MAD 24】游 龙 归 海;男子汉阿泽;· 2020-6-14;6673;https://www.bilibili.com/video/BV1Ek4y1z71q/;03:08
《归龙潮》;话嘟;· 11-7;86;https://www.bilibili.com/video/BV1MN4y1D7zb/;00:19
【实机演示】《归龙潮》「试映」会精华回顾;归龙潮;· 1-6;26.2万;https://www.bilibili.com/video/BV1Kd4y1E7f1/;42:37
龙 王 归 来;kano_sukidesu;· 2020-7-25;4393;https://www.bilibili.com/video/BV1Lk4y1m7TJ/;06:03
《归龙潮》终于要上线了，这画风实在是太爱了！;刻苦的铭欣OwO;· 11-8;154;https://www.bilibili.com/video/BV1P84y1X772/;01:03
归龙潮;bili_70988236881;· 7-21;114;https://www.bilibili.com/video/BV1NP411r7KR/;00:13
【归龙潮】国潮手游开启火爆预约中！;话嘟;· 11-4;65;https://www.bilibili.com/video/BV1wc411o7Bw/;00:24
【徵羽摩柯】归龙铭【1210摩柯生贺】;白糖の正义铃;· 2018-12-10;1268;https://www.bilibili.com/video/BV1st411q74C/;03:28
我长姐对你一笑那你是生死难料;小叶游戏呀;· 11-24;45;https://www.bilibili.com/video/BV1kC4y1P7JJ/;00:10
说 你会永远爱姐姐;bili_393769365;· 7-24;1.7万;https://www.bilibili.com/video/BV1jx4y1977a/;00:09
二游决战开始！绝区零，少前2，赛马娘，2023谁称王！？【二次元手游决赛圈】;何必Hebee;· 8-18;27.4万;https://www.bilibili.com/video/BV1fr4y1d72A/;06:31
归龙潮;宇宙の汐;· 7-22;41;https://www.bilibili.com/video/BV1kh4y1L7uu/;00:13
艾特你的兄弟，让他来玩归龙潮;解不开的心劫;· 11-22;163;https://www.bilibili.com/video/BV1KH4y127Pg/;00:13
星铁、明日方舟、归龙潮三个妹子你选哪个做老婆？;小叶游戏呀;· 11-25;12;https://www.bilibili.com/video/BV1kb4y1u7NZ/;00:10
《归龙潮》剧组路透01 | 直击首测，策划深度访谈！;归龙潮;· 4-22;5.6万;https://www.bilibili.com/video/BV1Bh411j7UZ/;10:13
归龙潮;l-懒惰-l;· 7-22;40;https://www.bilibili.com/video/BV1CX4y1J7wT/;00:07
这漫展河里吗‼️【BW2023】vlog;v汐小豹V;· 7-22;1.1万;https://www.bilibili.com/video/BV1Sh4y1V7EC/;02:57
【暗号瞳】首测，策划直播怒斥程序优化和阴间关卡！;伸手宅;· 4-3;3.1万;https://www.bilibili.com/video/BV1Sk4y1i7Rb/;06:43
;;;;https://www.bilibili.com/video/BV1394y1v7fA/;
;;;;https://www.bilibili.com/video/BV1wa4y1D7qK/;
;;;;https://www.bilibili.com/video/BV1rX4y1b74V/;
;;;;https://www.bilibili.com/video/BV1Bs4y1U7uP/;
;;;;https://www.bilibili.com/video/BV1q24y157BV/;
;;;;https://www.bilibili.com/video/BV1sc411R79P/;
BW漫展水很深 我把握不住;落九川;· 7-25;275.1万;https://www.bilibili.com/video/BV1394y1v7fA/;03:23
归龙潮长命锁;飞龙在天归龙潮;· 11-13;89;https://www.bilibili.com/video/BV1wa4y1D7qK/;00:20
暗号瞳正式更名“归龙潮”！不只国风潮酷，玩法一样很绝！矛盾与冲突并存、十分甚至九分令人期待的新游《》！;夜泽君pro;· 6-17;16.4万;https://www.bilibili.com/video/BV1rX4y1b74V/;03:51
【暗号瞳/归龙潮】退游了 带大家看看鬼市吧;珍惜哟;· 4-3;1.8万;https://www.bilibili.com/video/BV1Bs4y1U7uP/;01:59
